"","Incident.Number","Call.Date.Time","Location","Incident.Type","Other","Individual","Dispositions","Race","Gender","AgeRange","Reason","Enforcement","CarSearch","lat","long","Arrest","Emergency.Psych.Eval","Hour","Day"
"10933","2016-00003898",2016-01-20 12:19:00,"CENTER ST / SHATTUCK AVE","1194",NA,1,"WM4RCN","White","M","4","Reasonable Suscipcion","Citation","No Search",37.8703057,-122.2680389,"Not Arrested","No",12,"4"
"10934","2016-00003974",2016-01-20 19:50:00,"SAN PABLO AVE / STANFORD AVE","T",NA,1,"BF2TWN","Black","F","2","Traffic","Warning","No Search",37.8408391,-122.2831,"Not Arrested","No",19,"4"
"10935","2016-00003976",2016-01-20 19:59:00,"DWIGHT WAY / SHATTUCK AVE","T",NA,1,"WF4TWN","White","F","4","Traffic","Warning","No Search",37.8639703,-122.2674259,"Not Arrested","No",19,"4"
"10936","2016-00003978",2016-01-20 20:05:00,"58TH ST / MARKET ST","T",NA,1,"BM4TWN","Black","M","4","Traffic","Warning","No Search",37.8430453,-122.2748358,"Not Arrested","No",20,"4"
"10937","2016-00003980",2016-01-20 20:21:00,"SACRAMENTO ST / DERBY ST","T","P",1,"BM3TAS","Black","M","3","Traffic","Arrest","Search",37.8587015,-122.2802434,"Arrested","No",20,"4"
"10938","2016-00003985",2016-01-20 21:18:00,"M L KING JR WAY / ADELINE ST","T",NA,1,"HM2TCN","Hispanic","M","2","Traffic","Citation","No Search",37.8510652,-122.2705516,"Not Arrested","No",21,"4"
"10939","2016-00003988",2016-01-20 21:21:00,"M L KING JR WAY / CHANNING WAY","T",NA,1,"WF3TWN","White","F","3","Traffic","Warning","No Search",37.8651782,-122.2723067,"Not Arrested","No",21,"4"
"10940","2016-00003990",2016-01-20 21:24:00,"M L KING JR WAY / ALLSTON WAY","T",NA,1,"AM3TCN","Asian","M","3","Traffic","Citation","No Search",37.8687926,-122.2726916,"Not Arrested","No",21,"4"
"10941","2016-00003991",2016-01-20 21:27:00,"DWIGHT WAY / SPAULDING AVE","T",NA,1,"WM4TWN","White","M","4","Traffic","Warning","No Search",37.8623331,-122.2800556,"Not Arrested","No",21,"4"
"10942","2016-00003999",2016-01-20 22:08:00,"SACRAMENTO ST / DERBY ST","T",NA,1,"OM3TCN","Other","M","3","Traffic","Citation","No Search",37.8587015,-122.2802434,"Not Arrested","No",22,"4"
