"","Country","Year","GDP per capita","Life Expectancy","Total Population","Group"
"43736","Cuba","1968",9626,71.32644,7858929.2,"America"
"43737","Cyprus","1968",7702,70.92304,584575,"Europe & Central Asia"
"43738","Czech Republic","1968",14467,70.1032,9740964.9,NA
"43739","Czechoslovakia","1968",NA,NA,14052837.4,"Europe & Central Asia"
"43740","Denmark","1968",20482,73.0932,4740466.1,"Europe & Central Asia"
"43741","Djibouti","1968",3676,57.3564,113412.7,"Middle East & North Africa"
"43742","Dominica","1968",2628,NA,64815.5,"America"
"43743","Dominican Republic","1968",2784,64.4896,3824972.2,NA
"43744","East Germany","1968",NA,NA,17429897.2,"Europe & Central Asia"
"43745","Ecuador","1968",5364,61.52064,5194112.2,"America"
"43746","Egypt","1968",2460,51.16516,30514081.3,"Middle East & North Africa"
"43747","El Salvador","1968",4882,59.10992,3157838,"America"
"43748","Equatorial Guinea","1968",1296,46.10612,269894.5,"Sub-Saharan Africa"
"43749","Eritrea","1968",1068,45.12916,1575007.2,"Sub-Saharan Africa"
"43750","Eritrea and Ethiopia","1968",NA,NA,28273032.3,"Sub-Saharan Africa"
"43751","Estonia","1968",9066,70.9836,1282297.3,"Europe & Central Asia"
"43752","Ethiopia","1968",800,44.13396,24777360.2,"Sub-Saharan Africa"
"43753","Faeroe Islands","1968",NA,NA,36195.2,"Europe & Central Asia"
"43754","Falkland Is (Malvinas)","1968",NA,NA,2079,NA
"43755","Fiji","1968",3953,62.71628,454544.1,"East Asia & Pacific"
"43756","Finland","1968",13726,69.6364,4536837.3,"Europe & Central Asia"
"43757","France","1968",16321,71.8664,48439126.6,"Europe & Central Asia"
"43758","French Guiana","1968",NA,64.46,38500.9,"America"
"43759","French Polynesia","1968",NA,59.452,91985.8,"East Asia & Pacific"
"43760","Gabon","1968",3423,52.1718,532612.7,"Sub-Saharan Africa"
"43761","Gambia","1968",1575,48.82696,399851,"Sub-Saharan Africa"
"43762","Georgia","1968",4505,64.83524,4432739.4,"Europe & Central Asia"
"43763","Germany","1968",19254,70.8034536748062,75664070.4,"Europe & Central Asia"
"43764","Ghana","1968",2177,54.49056,7569835.9,"Sub-Saharan Africa"
"43765","Gibraltar","1968",NA,NA,23023.3,"Europe & Central Asia"
"43766","Greece","1968",10458,72.61096,8519449.7,"Europe & Central Asia"
"43767","Greenland","1968",8932,64.7629122180325,37566.3,"Europe & Central Asia"
"43768","Grenada","1968",2539,65.05972,93494.1,"America"
"43769","Guadeloupe","1968",NA,63.908,297309.2,"America"
"43770","Guam","1968",NA,64.804,74086.6,"East Asia & Pacific"
"43771","Guatemala","1968",4320,50.13764,4678836.1,"America"
"43772","Guernsey","1968",NA,NA,49715.3,"Europe & Central Asia"
"43773","Guinea","1968",940,45.57624,3856686.8,"Sub-Saharan Africa"
"43774","Guinea-Bissau","1968",1659,44.06016,652447.6,"Sub-Saharan Africa"
"43775","Guyana","1968",3593,62.32788,635390.3,"America"
"43776","Haiti","1968",1902,46.23416,4235307.5,"America"
"43777","Holy See","1968",NA,NA,831.4,"Europe & Central Asia"
"43778","Honduras","1968",2864,56.5914,2313590.7,"America"
"43779","Hong Kong, China","1968",7363,71.149,3635995.1,"East Asia & Pacific"
"43780","Hungary","1968",12612,69.3876,10153003.8,"Europe & Central Asia"
"43781","Iceland","1968",13752,73.9304,189871.5,"Europe & Central Asia"
"43782","India","1968",1095,47.07144,493943237.2,"South Asia"
"43783","Indonesia","1968",1741,55.11352,99308775.5,"East Asia & Pacific"
"43784","Iran","1968",8816,53.00324,24714332.9,"Middle East & North Africa"
"43785","Iraq","1968",7852,61.42796,8327106.5,"Middle East & North Africa"
"43786","Ireland","1968",10722,71.2276,2855859.4,"Europe & Central Asia"
"43787","Isle of Man","1968",NA,NA,50960.8,"Europe & Central Asia"
"43788","Israel","1968",9634,70.7304,2458097.8,"Middle East & North Africa"
"43789","Italy","1968",14929,70.8224,51458098.7,"Europe & Central Asia"
"43790","Jamaica","1968",6734,67.53336,1744897.8,"America"
"43791","Japan","1968",9439,71.8748,97046248,"East Asia & Pacific"
"43792","Jersey","1968",NA,NA,65869.6,"Europe & Central Asia"
"43793","Jordan","1968",4994,61.75584,1147422.7,"Middle East & North Africa"
"43794","Kazakhstan","1968",11059,61.80768,11616075,"Europe & Central Asia"
"43795","Kenya","1968",2064,57.10468,9405610.1,"Sub-Saharan Africa"
"43796","Kiribati","1968",2961,50.40388,45865.1,"East Asia & Pacific"
"43797","North Korea","1968",1673,51.61924,12556119.5,NA
"43798","South Korea","1968",1774,60.00184,28031281.2,NA
"43799","United Korea (former)
","1968",NA,NA,NA,NA
"43800","Kosovo","1968",NA,NA,1392817.7,"Europe & Central Asia"
"43801","Kuwait","1968",44047,67.85528,463936.4,"Middle East & North Africa"
"43802","Kyrgyz Republic","1968",3249,57.65696,2530753.5,NA
"43803","Lao","1968",1323,47.30924,2359378.7,NA
"43804","Latvia","1968",7190,70.5472,2244740.2,"Europe & Central Asia"
"43805","Lebanon","1968",11391,67.95968,2048642,"Middle East & North Africa"
"43806","Lesotho","1968",748,55.53324,927152.6,"Sub-Saharan Africa"
"43807","Liberia","1968",1399,46.98916,1243930.3,"Sub-Saharan Africa"
"43808","Libya","1968",60948,63.08708,1703136.7,"Middle East & North Africa"
"43809","Liechtenstein","1968",NA,NA,18508.2,"Europe & Central Asia"
"43810","Lithuania","1968",12613,72.0132,2942628.1,"Europe & Central Asia"
"43811","Luxembourg","1968",26273,70.7792,327443.2,"Europe & Central Asia"
"43812","Macao, China","1968",13016,68.451,204732.2,"East Asia & Pacific"
"43813","Macedonia, FYR","1968",5417,64.44804,1586572.6,"Europe & Central Asia"
"43814","Madagascar","1968",2398,49.48784,5718036.7,"Sub-Saharan Africa"
"43815","Malawi","1968",477,40.5506,4027257.3,"Sub-Saharan Africa"
"43816","Malaysia","1968",3774,64.78484,9412975.5,"East Asia & Pacific"
"43817","Maldives","1968",1341,51.93212,101269.2,"South Asia"
"43818","Mali","1968",834,37.24152,5546551.2,"Sub-Saharan Africa"
"43819","Malta","1968",3885,69.9566,307630.8,"Europe & Central Asia"
"43820","Marshall Islands","1968",2074,NA,17017.3,"East Asia & Pacific"
"43821","Martinique","1968",NA,64.926,306171,"America"
"43822","Mauritania","1968",2791,53.6282,981623.4,"Sub-Saharan Africa"
"43823","Mauritius","1968",2973,62.05892,741034.9,"Sub-Saharan Africa"
"43824","Mayotte","1968",NA,61.068,29801.9,"Sub-Saharan Africa"
"43825","Mexico","1968",8183,62.10876,44080226.3,"America"
"43826","Micronesia, Fed. Sts.","1968",1670,59.80436,51857.4,"East Asia & Pacific"
"43827","Moldova","1968",4868,62.2748,3292490.9,"Europe & Central Asia"
"43828","Monaco","1968",24194,NA,23124.2,"Europe & Central Asia"
"43829","Mongolia","1968",1584,53.26452,1093551.4,"East Asia & Pacific"
"43830","Montenegro","1968",8882,69.50476,518858.8,"Europe & Central Asia"
"43831","Montserrat","1968",NA,NA,11818.2,"America"
"43832","Morocco","1968",2267,56.43904,14037050.2,"Middle East & North Africa"
"43833","Mozambique","1968",623,47.74588,8239984.2,"Sub-Saharan Africa"
"43834","Myanmar","1968",1369,48.80152,23851953,"East Asia & Pacific"
"43835","Namibia","1968",6060,57.56772,676404.8,"Sub-Saharan Africa"
"43836","Nauru","1968",44213,NA,5517.1,"East Asia & Pacific"
"43837","Nepal","1968",1007,47.37312,10850159.6,"South Asia"
"43838","Netherlands","1968",17827,73.726,12129546.2,"Europe & Central Asia"
"43839","Netherlands Antilles","1968",NA,68.411,145576.2,"America"
"43840","New Caledonia","1968",NA,61.334,89736.3,"East Asia & Pacific"
"43841","New Zealand","1968",18082,71.3432,2590023,"East Asia & Pacific"
"43842","Ngorno-Karabakh","1968",NA,NA,NA,"Europe & Central Asia"
"43843","Nicaragua","1968",5981,55.71424,2039802.7,"America"
"43844","Niger","1968",1432,42.793,3873271.4,"Sub-Saharan Africa"
"43845","Nigeria","1968",2610,41.096,49831519.1,"Sub-Saharan Africa"
"43846","Niue","1968",NA,NA,5057.2,"East Asia & Pacific"
"43847","Norfolk Island","1968",NA,NA,1762.2,"East Asia & Pacific"
"43848","Northern Cyprus","1968",NA,NA,NA,"Europe & Central Asia"
"43849","Northern Mariana Islands","1968",NA,NA,11217.3,"East Asia & Pacific"
"43850","Norway","1968",21022,73.7872,3711717.9,"Europe & Central Asia"
"43851","Oman","1968",15768,51.9204,620530.1,"Middle East & North Africa"
"43852","Pakistan","1968",1577,52.61428,50412121.8,"South Asia"
"43853","Palau","1968",24868,NA,10601.2,"East Asia & Pacific"
"43854","Panama","1968",5873,67.74372,1299080.5,"America"
"43855","Papua New Guinea","1968",1545,54.85644,2151056.6,"East Asia & Pacific"
"43856","Paraguay","1968",3339,68.25448,2148782,"America"
"43857","Peru","1968",6459,50.7642,11474785.3,"America"
"43858","Philippines","1968",3051,63.59928,30469124.9,"East Asia & Pacific"
"43859","Pitcairn","1968",NA,NA,112.3,"East Asia & Pacific"
"43860","Poland","1968",8473,70.3748,31285930.4,"Europe & Central Asia"
"43861","Portugal","1968",9056,67.1308,8841372.5,"Europe & Central Asia"
"43862","Puerto Rico","1968",13095,70.907,2537986.4,"America"
"43863","Qatar","1968",99995,68.43772,71716.4,"Middle East & North Africa"
"43864","Reunion","1968",NA,61.743,388488.5,"Sub-Saharan Africa"
"43865","Romania","1968",9193,67.62124,19371887.3,"Europe & Central Asia"
"43866","Russia","1968",13902,68.9144,125405796.2,"Europe & Central Asia"
"43867","Rwanda","1968",596,45.50708,3238297.6,"Sub-Saharan Africa"
"43868","St. Barthélemy","1968",NA,NA,2278.7,NA
"43869","St. Helena","1968",NA,NA,4694,NA
"43870","St. Kitts and Nevis","1968",4188,NA,49070.7,NA
"43871","St. Lucia","1968",2979,63.38568,95874.4,NA
"43872","St. Martin","1968",NA,NA,19841.4,NA
"43873","St. Vincent and the Grenadines","1968",2749,62.65704,85424.2,NA
"43874","St.-Pierre-et-Miquelon","1968",NA,NA,5103.9,NA
"43875","Samoa","1968",3663,63.39608,124944.2,"East Asia & Pacific"
"43876","San Marino","1968",20919,NA,17201.5,"Europe & Central Asia"
"43877","Sao Tome and Principe","1968",2031,56.86136,66263.1,"Sub-Saharan Africa"
"43878","Saudi Arabia","1968",29819,61.21468,4790950.6,"Middle East & North Africa"
"43879","Senegal","1968",2127,45.82808,3613363.2,"Sub-Saharan Africa"
"43880","Serbia","1968",8948,66.90952,7806706.7,"Europe & Central Asia"
"43881","Serbia and Montenegro","1968",NA,NA,8280056.9,"Europe & Central Asia"
"43882","Serbia excluding Kosovo","1968",NA,NA,6583871.9,"Europe & Central Asia"
"43883","Seychelles","1968",6410,64.68692,46215.6,"Sub-Saharan Africa"
"43884","Sierra Leone","1968",1526,45.19304,2320919.3,"Sub-Saharan Africa"
"43885","Singapore","1968",8209,67.68252,1848943.6,"East Asia & Pacific"
"43886","Slovak Republic","1968",10570,70.6536,4341424.5,"Europe & Central Asia"
"43887","Slovenia","1968",10911,66.74484,1624517.4,"Europe & Central Asia"
"43888","Solomon Islands","1968",1270,55.57612,135402,"East Asia & Pacific"
"43889","Somalia","1968",1190,49.91532,3052311.2,"Sub-Saharan Africa"
"43890","Somaliland","1968",NA,NA,NA,"Sub-Saharan Africa"
"43891","South Africa","1968",9849,56.592,19597091,"Sub-Saharan Africa"
"43892","South Ossetia","1968",NA,NA,NA,"Europe & Central Asia"
"43893","Spain","1968",10767,71.3076,32004111.2,"Europe & Central Asia"
"43894","Sri Lanka","1968",1961,64.58456,11018211.8,"South Asia"
"43895","Sudan","1968",2093,55.56424,8651721.7,"Sub-Saharan Africa"
"43896","Suriname","1968",8390,64.06972,328228.8,"America"
"43897","Svalbard","1968",NA,NA,2005,"Europe & Central Asia"
"43898","Swaziland","1968",3092,52.9868,388944.7,"Sub-Saharan Africa"
"43899","Sweden","1968",20401,73.838,7724331.5,"Europe & Central Asia"
"43900","Switzerland","1968",33324,72.5856,5744978.3,"Europe & Central Asia"
"43901","Syria","1968",2598,60.79256,5339048,"Middle East & North Africa"
"43902","Taiwan","1968",4461,67.936,12777766.8,"East Asia & Pacific"
"43903","Tajikistan","1968",4398,56.63008,2443973.2,"Europe & Central Asia"
"43904","Tanzania","1968",1360,52.69656,11557920.7,"Sub-Saharan Africa"
"43905","Thailand","1968",2145,62.85976,31455894.1,"East Asia & Pacific"
"43906","Timor-Leste","1968",704,45.98872,542797.6,"East Asia & Pacific"
"43907","Togo","1968",1827,50.55372,1740343,"Sub-Saharan Africa"
"43908","Tokelau","1968",NA,NA,1864.4,"East Asia & Pacific"
"43909","Tonga","1968",1681,65.77304,72652.5,"East Asia & Pacific"
"43910","Transnistria","1968",NA,NA,NA,"Europe & Central Asia"
"43911","Trinidad and Tobago","1968",10669,65.48624,901725,"America"
"43912","Tunisia","1968",2831,54.49932,4526514,"Middle East & North Africa"
"43913","Turkey","1968",6295,54.80964,30691489.9,"Europe & Central Asia"
"43914","Turkmenistan","1968",9355,52.06072,1859204.2,"Europe & Central Asia"
"43915","Turks and Caicos Islands","1968",2771,NA,5671.5,"America"
"43916","Tuvalu","1968",1691,NA,6709.8,"East Asia & Pacific"
"43917","Uganda","1968",1012,51.976,7919198.1,"Sub-Saharan Africa"
"43918","Ukraine","1968",7320,70.3708,44885586,"Europe & Central Asia"
"43919","United Arab Emirates","1968",29634,63.48056,144333.1,"Middle East & North Africa"
"43920","United Kingdom","1968",16357,71.598,54014802.6,"Europe & Central Asia"
"43921","United States","1968",23647,70.2088,197669013.3,"America"
"43922","Uruguay","1968",7324,68.36768,2675206.1,"America"
"43923","USSR","1968",NA,NA,228188452.4,"Europe & Central Asia"
"43924","Uzbekistan","1968",3096,61.16856,10120962,"Europe & Central Asia"
"43925","Wallis et Futuna","1968",NA,NA,8993.3,"East Asia & Pacific"
"43926","Vanuatu","1968",1635,58.54276,73213.3,"East Asia & Pacific"
"43927","Venezuela","1968",14764,66.33196,9665109.8,"America"
"43928","West Bank and Gaza","1968",1202,59.81144,1144464.9,"Middle East & North Africa"
"43929","West Germany","1968",NA,NA,57263116.4,"Europe & Central Asia"
"43930","Western Sahara","1968",NA,41.316,51048.7,"Middle East & North Africa"
"43931","Vietnam","1968",1002,58.72376,37392417,"East Asia & Pacific"
"43932","Virgin Islands (U.S.)","1968",NA,66.867,47077.7,"America"
"43933","North Yemen (former)","1968",NA,NA,4703886.6,NA
"43934","South Yemen (former)","1968",NA,NA,1456404.4,NA
"43935","Yemen","1968",1544,40.97904,5586073.6,NA
"43936","Yugoslavia","1968",NA,NA,18938513.9,"Europe & Central Asia"
"43937","Zambia","1968",4423,56.82476,3521630.4,"Sub-Saharan Africa"
"43938","Zimbabwe","1968",1639,57.14172,4367515.3,"Sub-Saharan Africa"
"43939","Åland","1968",NA,NA,20840.1,"Europe & Central Asia"
"43940","South Sudan","1968",2301,47.02972,3241827.9,"Sub-Saharan Africa"
"43941","Abkhazia","1969",NA,NA,NA,"Europe & Central Asia"
"43942","Afghanistan","1969",1178,41.20626,9866580.9,"South Asia"
"43943","Akrotiri and Dhekelia","1969",NA,NA,11809.1,"Europe & Central Asia"
"43944","Albania","1969",3587,66.45896,1868513.9,"Europe & Central Asia"
"43945","Algeria","1969",6747,56.08532,12535124.5,"Middle East & North Africa"
"43946","American Samoa","1969",NA,NA,23164.7,"East Asia & Pacific"
"43947","Andorra","1969",30726,NA,18094.7,"Europe & Central Asia"
"43948","Angola","1969",5158,47.08164,5717076.6,"Sub-Saharan Africa"
"43949","Anguilla","1969",NA,NA,6091.4,"America"
"43950","Antigua and Barbuda","1969",5666,66.44196,59221.9,"America"
"43951","Argentina","1969",9610,65.84198,22112720.9,"America"
"43952","Armenia","1969",3313,64.27786,2167011.9,"Europe & Central Asia"
"43953","Aruba","1969",6227,68.784,56982.5,"America"
"43954","Australia","1969",18949,71.3262,11341401.1,"East Asia & Pacific"
"43955","Austria","1969",16743,70.2462,7271397.1,"Europe & Central Asia"
"43956","Azerbaijan","1969",6819,60.5617,4498594.4,"Europe & Central Asia"
"43957","Bahamas","1969",23154,62.87886,136864.4,"America"
"43958","Bahrain","1969",29943,64.081,184710.9,"Middle East & North Africa"
"43959","Bangladesh","1969",1195,45.4846,55363083.4,"South Asia"
"43960","Barbados","1969",8261,68.36128,234647.2,"America"
"43961","Belarus","1969",5120,72.0364,8570259.2,"Europe & Central Asia"
"43962","Belgium","1969",17868,70.7394,9400579.7,"Europe & Central Asia"
"43963","Belize","1969",2435,66.65932,105087.9,"America"
"43964","Benin","1969",1210,46.6346,2621294.6,"Sub-Saharan Africa"
"43965","Bermuda","1969",30559,NA,48609.2,"America"
"43966","Bhutan","1969",1055,48.17894,250906.6,"South Asia"
"43967","Bolivia","1969",3581,49.9783,4039864.5,"America"
"43968","Bosnia and Herzegovina","1969",2431,66.02662,3479201.5,"Europe & Central Asia"
"43969","Botswana","1969",1455,60.20218,591647.3,"Sub-Saharan Africa"
"43970","Brazil","1969",5550,60.4783,82960575.9,"America"
"43971","British Virgin Islands","1969",NA,NA,8765.2,"America"
"43972","Brunei","1969",72988,67.77062,101340.4,"East Asia & Pacific"
"43973","Bulgaria","1969",7592,70.0674,8165228.7,"Europe & Central Asia"
"43974","Burkina Faso","1969",799,44.2429,5154736.8,"Sub-Saharan Africa"
"43975","Burundi","1969",627,44.52866,3066278.7,"Sub-Saharan Africa"
"43976","Cambodia","1969",1660,48.18124,6358104.9,"East Asia & Pacific"
"43977","Cameroon","1969",2146,51.57306,5943627.3,"Sub-Saharan Africa"
"43978","Canada","1969",19614,72.401,19517371.6,"America"
"43979","Cape Verde","1969",936,59.79626,230219.5,"Sub-Saharan Africa"
"43980","Cayman Islands","1969",23325,NA,8335.6,"America"
"43981","Central African Republic","1969",1332,47.63396,1638933.8,NA
"43982","Chad","1969",1341,50.93662,3281021.6,"Sub-Saharan Africa"
"43983","Channel Islands","1969",NA,71.726,114504.4,"Europe & Central Asia"
"43984","Chile","1969",7364,63.18148,8525953.8,"America"
"43985","China","1969",732,58.367416,706097533.6,"East Asia & Pacific"
"43986","Christmas Island","1969",NA,NA,920.7,"East Asia & Pacific"
"43987","Cocos Island","1969",NA,NA,394.3,"East Asia & Pacific"
"43988","Colombia","1969",4162,65.66106,18915144.5,"America"
"43989","Comoros","1969",1425,50.25134,204679.9,"Sub-Saharan Africa"
"43990","Congo, Dem. Rep.","1969",2160,48.74034,17227498,"Sub-Saharan Africa"
"43991","Congo, Rep.","1969",3057,51.4028,1147189.6,"Sub-Saharan Africa"
"43992","Cook Is","1969",NA,NA,19251,NA
"43993","Costa Rica","1969",5518,70.04084,1564080.2,"America"
"43994","Cote d'Ivoire","1969",3645,50.93184,4177322.8,"Sub-Saharan Africa"
"43995","Croatia","1969",11324,66.70162,4309711.8,"Europe & Central Asia"
"43996","Cuba","1969",9377,71.92622,7858929.2,"America"
"43997","Cyprus","1969",8017,71.16552,584575,"Europe & Central Asia"
"43998","Czech Republic","1969",14774,69.6066,9740964.9,NA
"43999","Czechoslovakia","1969",NA,NA,14052837.4,"Europe & Central Asia"
"44000","Denmark","1969",21701,73.1816,4740466.1,"Europe & Central Asia"
"44001","Djibouti","1969",3668,58.2172,113412.7,"Middle East & North Africa"
"44002","Dominica","1969",2657,NA,64815.5,"America"
"44003","Dominican Republic","1969",3004,65.2563,3824972.2,NA
"44004","East Germany","1969",NA,NA,17429897.2,"Europe & Central Asia"
"44005","Ecuador","1969",5501,62.00182,5194112.2,"America"
"44006","Egypt","1969",2614,51.42858,30514081.3,"Middle East & North Africa"
"44007","El Salvador","1969",4863,59.53196,3157838,"America"
"44008","Equatorial Guinea","1969",1242,46.55306,269894.5,"Sub-Saharan Africa"
"44009","Eritrea","1969",1080,45.61358,1575007.2,"Sub-Saharan Africa"
"44010","Eritrea and Ethiopia","1969",NA,NA,28273032.3,"Sub-Saharan Africa"
"44011","Estonia","1969",9109,70.6818,1282297.3,"Europe & Central Asia"
"44012","Ethiopia","1969",810,44.47698,24777360.2,"Sub-Saharan Africa"
"44013","Faeroe Islands","1969",NA,NA,36195.2,"Europe & Central Asia"
"44014","Falkland Is (Malvinas)","1969",NA,NA,2079,NA
"44015","Fiji","1969",3971,63.16314,454544.1,"East Asia & Pacific"
"44016","Finland","1969",15058,69.5132,4536837.3,"Europe & Central Asia"
"44017","France","1969",17339,71.6032,48439126.6,"Europe & Central Asia"
"44018","French Guiana","1969",NA,64.974,38500.9,"America"
"44019","French Polynesia","1969",NA,59.828,91985.8,"East Asia & Pacific"
"44020","Gabon","1969",3836,53.1964,532612.7,"Sub-Saharan Africa"
"44021","Gambia","1969",1691,49.89748,399851,"Sub-Saharan Africa"
"44022","Georgia","1969",4685,65.12412,4432739.4,"Europe & Central Asia"
"44023","Germany","1969",20409,70.6568223557304,75664070.4,"Europe & Central Asia"
"44024","Ghana","1969",2240,54.89778,7569835.9,"Sub-Saharan Africa"
"44025","Gibraltar","1969",NA,NA,23023.3,"Europe & Central Asia"
"44026","Greece","1969",11466,72.94198,8519449.7,"Europe & Central Asia"
"44027","Greenland","1969",9432,65.1445065224382,37566.3,"Europe & Central Asia"
"44028","Grenada","1969",2597,65.43486,93494.1,"America"
"44029","Guadeloupe","1969",NA,64.455,297309.2,"America"
"44030","Guam","1969",NA,65.238,74086.6,"East Asia & Pacific"
"44031","Guatemala","1969",4441,50.86782,4678836.1,"America"
"44032","Guernsey","1969",NA,NA,49715.3,"Europe & Central Asia"
"44033","Guinea","1969",950,45.97012,3856686.8,"Sub-Saharan Africa"
"44034","Guinea-Bissau","1969",1708,44.23308,652447.6,"Sub-Saharan Africa"
"44035","Guyana","1969",3788,62.51394,635390.3,"America"
"44036","Haiti","1969",1922,46.63108,4235307.5,"America"
"44037","Holy See","1969",NA,NA,831.4,"Europe & Central Asia"
"44038","Honduras","1969",2781,57.2902,2313590.7,"America"
"44039","Hong Kong, China","1969",8065,71.525,3635995.1,"East Asia & Pacific"
"44040","Hungary","1969",12973,69.4588,10153003.8,"Europe & Central Asia"
"44041","Iceland","1969",13983,73.7002,189871.5,"Europe & Central Asia"
"44042","India","1969",1141,47.78972,493943237.2,"South Asia"
"44043","Indonesia","1969",1920,55.91376,99308775.5,"East Asia & Pacific"
"44044","Iran","1969",9709,53.72112,24714332.9,"Middle East & North Africa"
"44045","Iraq","1969",7846,62.30298,8327106.5,"Middle East & North Africa"
"44046","Ireland","1969",11331,71.1538,2855859.4,"Europe & Central Asia"
"44047","Isle of Man","1969",NA,NA,50960.8,"Europe & Central Asia"
"44048","Israel","1969",10562,70.9197,2458097.8,"Middle East & North Africa"
"44049","Italy","1969",15735,70.8412,51458098.7,"Europe & Central Asia"
"44050","Jamaica","1969",7132,67.82518,1744897.8,"America"
"44051","Japan","1969",10548,72.1074,97046248,"East Asia & Pacific"
"44052","Jersey","1969",NA,NA,65869.6,"Europe & Central Asia"
"44053","Jordan","1969",5182,62.53442,1147422.7,"Middle East & North Africa"
"44054","Kazakhstan","1969",11115,62.16884,11616075,"Europe & Central Asia"
"44055","Kenya","1969",2124,57.79834,9405610.1,"Sub-Saharan Africa"
"44056","Kiribati","1969",3047,50.85144,45865.1,"East Asia & Pacific"
"44057","North Korea","1969",1643,52.55012,12556119.5,NA
"44058","South Korea","1969",1998,60.91542,28031281.2,NA
"44059","United Korea (former)
","1969",NA,NA,NA,NA
"44060","Kosovo","1969",NA,NA,1392817.7,"Europe & Central Asia"
"44061","Kuwait","1969",48781,68.38814,463936.4,"Middle East & North Africa"
"44062","Kyrgyz Republic","1969",3312,57.99198,2530753.5,NA
"44063","Lao","1969",1334,47.65512,2359378.7,NA
"44064","Latvia","1969",7222,70.2786,2244740.2,"Europe & Central Asia"
"44065","Lebanon","1969",11422,68.28234,2048642,"Middle East & North Africa"
"44066","Lesotho","1969",741,55.84262,927152.6,"Sub-Saharan Africa"
"44067","Liberia","1969",1446,47.73508,1243930.3,"Sub-Saharan Africa"
"44068","Libya","1969",66299,64.36804,1703136.7,"Middle East & North Africa"
"44069","Liechtenstein","1969",NA,NA,18508.2,"Europe & Central Asia"
"44070","Lithuania","1969",12679,71.6316,2942628.1,"Europe & Central Asia"
"44071","Luxembourg","1969",29081,70.3496,327443.2,"Europe & Central Asia"
"44072","Macao, China","1969",13947,68.829,204732.2,"East Asia & Pacific"
"44073","Macedonia, FYR","1969",5978,64.94102,1586572.6,"Europe & Central Asia"
"44074","Madagascar","1969",2436,50.09342,5718036.7,"Sub-Saharan Africa"
"44075","Malawi","1969",494,40.9588,4027257.3,"Sub-Saharan Africa"
"44076","Malaysia","1969",3902,65.24892,9412975.5,"East Asia & Pacific"
"44077","Maldives","1969",1372,52.98406,101269.2,"South Asia"
"44078","Mali","1969",813,38.00376,5546551.2,"Sub-Saharan Africa"
"44079","Malta","1969",4121,70.2303,307630.8,"Europe & Central Asia"
"44080","Marshall Islands","1969",2123,NA,17017.3,"East Asia & Pacific"
"44081","Martinique","1969",NA,65.46,306171,"America"
"44082","Mauritania","1969",2717,54.2186,981623.4,"Sub-Saharan Africa"
"44083","Mauritius","1969",3080,62.12646,741034.9,"Sub-Saharan Africa"
"44084","Mayotte","1969",NA,61.725,29801.9,"Sub-Saharan Africa"
"44085","Mexico","1969",8441,62.53738,44080226.3,"America"
"44086","Micronesia, Fed. Sts.","1969",1704,60.19768,51857.4,"East Asia & Pacific"
"44087","Moldova","1969",4887,62.4139,3292490.9,"Europe & Central Asia"
"44088","Monaco","1969",25262,NA,23124.2,"Europe & Central Asia"
"44089","Mongolia","1969",1637,53.80226,1093551.4,"East Asia & Pacific"
"44090","Montenegro","1969",9816,70.10738,518858.8,"Europe & Central Asia"
"44091","Montserrat","1969",NA,NA,11818.2,"America"
"44092","Morocco","1969",2338,56.92352,14037050.2,"Middle East & North Africa"
"44093","Mozambique","1969",682,48.36394,8239984.2,"Sub-Saharan Africa"
"44094","Myanmar","1969",1401,49.46776,23851953,"East Asia & Pacific"
"44095","Namibia","1969",6112,58.23436,676404.8,"Sub-Saharan Africa"
"44096","Nauru","1969",50241,NA,5517.1,"East Asia & Pacific"
"44097","Nepal","1969",1031,47.88356,10850159.6,"South Asia"
"44098","Netherlands","1969",18892,73.638,12129546.2,"Europe & Central Asia"
"44099","Netherlands Antilles","1969",NA,68.806,145576.2,"America"
"44100","New Caledonia","1969",NA,61.885,89736.3,"East Asia & Pacific"
"44101","New Zealand","1969",19745,71.7166,2590023,"East Asia & Pacific"
"44102","Ngorno-Karabakh","1969",NA,NA,NA,"Europe & Central Asia"
"44103","Nicaragua","1969",6173,56.46362,2039802.7,"America"
"44104","Niger","1969",1362,43.035,3873271.4,"Sub-Saharan Africa"
"44105","Nigeria","1969",2988,39.348,49831519.1,"Sub-Saharan Africa"
"44106","Niue","1969",NA,NA,5057.2,"East Asia & Pacific"
"44107","Norfolk Island","1969",NA,NA,1762.2,"East Asia & Pacific"
"44108","Northern Cyprus","1969",NA,NA,NA,"Europe & Central Asia"
"44109","Northern Mariana Islands","1969",NA,NA,11217.3,"East Asia & Pacific"
"44110","Norway","1969",21845,73.4936,3711717.9,"Europe & Central Asia"
"44111","Oman","1969",19335,52.7012,620530.1,"Middle East & North Africa"
"44112","Pakistan","1969",1636,53.16864,50412121.8,"South Asia"
"44113","Palau","1969",26296,NA,10601.2,"East Asia & Pacific"
"44114","Panama","1969",6153,68.26536,1299080.5,"America"
"44115","Papua New Guinea","1969",1636,55.85122,2151056.6,"East Asia & Pacific"
"44116","Paraguay","1969",3375,68.47174,2148782,"America"
"44117","Peru","1969",6425,51.4571,11474785.3,"America"
"44118","Philippines","1969",3104,63.96164,30469124.9,"East Asia & Pacific"
"44119","Pitcairn","1969",NA,NA,112.3,"East Asia & Pacific"
