"";"id";"Total.population";"Hispanic.or.Latino";"Total.population..not.Hispanic.or.Latino";"One.race.total";"White";"Black.or.African.American";"American.Indian.and.Alaska.Native";"Asian";"Native.Hawaiian.and.Other.Pacific.Islander";"Some.Other.Race";"Two.or.More.Races"
"171";"4287";4119;496;3623;3778;1677;615;58;1252;42;134;341
"172";"4301.01";6523;520;6003;6183;2705;274;13;3046;39;106;340
"173";"4301.02";2285;234;2051;2145;1672;64;10;332;7;60;140
"174";"4302";6916;866;6050;6535;4934;191;28;1110;37;235;381
"175";"4303";3670;464;3206;3474;2703;125;15;545;14;72;196
"176";"4304";2046;238;1808;1900;1475;64;8;299;1;53;146
"177";"4305";6049;1404;4645;5665;2690;1312;36;912;53;662;384
"178";"4306";5887;823;5064;5548;3538;250;39;1445;19;257;339
"179";"4307";3814;642;3172;3550;2571;119;18;678;18;146;264
"180";"4308";5394;1011;4383;5045;3443;182;26;973;30;391;349
"181";"4309";4681;1259;3422;4321;2544;441;45;724;80;487;360
"182";"4310";2714;616;2098;2525;1543;197;29;516;15;225;189
"183";"4311";3225;895;2330;2943;1638;464;21;376;51;393;282
"184";"4312";5627;1316;4311;5289;3325;646;42;651;58;567;338
"185";"4321";3770;858;2912;3493;2069;538;31;467;13;375;277
"186";"4322";4080;1007;3073;3848;2078;857;31;428;14;440;232
"187";"4323";4656;1655;3001;4413;1689;506;57;1321;17;823;243
"188";"4324";5814;2173;3641;5385;2215;497;36;1518;56;1063;429
"189";"4325.01";4839;1762;3077;4618;1597;293;57;1661;52;958;221
"190";"4325.02";4485;1443;3042;4260;1046;554;52;1709;37;862;225
"191";"4326";6842;2068;4774;6405;2529;1372;58;1362;66;1018;437
"192";"4327";2478;526;1952;2339;1423;249;20;413;6;228;139
"193";"4328";3729;766;2963;3513;1886;450;19;807;31;320;216
"194";"4330";3832;1086;2746;3614;1789;330;23;903;26;543;218
"195";"4331.02";3989;1141;2848;3801;1322;392;21;1487;40;539;188
"196";"4331.03";3530;1409;2121;3299;921;898;42;581;60;797;231
"197";"4331.04";3760;1244;2516;3536;1408;885;35;522;28;658;224
"198";"4332";6897;1580;5317;6544;2304;1100;36;2335;36;733;353
"199";"4333";6834;1707;5127;6443;2655;264;46;2711;39;728;391
"200";"4334";6305;726;5579;6041;1723;650;29;3290;56;293;264
"201";"4335";4352;1051;3301;4129;1833;180;50;1602;28;436;223
"202";"4336";5978;1394;4584;5658;2049;569;29;2308;40;663;320
"203";"4337";3182;1451;1731;2930;1324;375;56;463;45;667;252
"204";"4338";7369;2612;4757;6986;2001;1192;64;2081;70;1578;383
"205";"4339";6599;3128;3471;6233;1750;1835;71;774;87;1716;366
"206";"4340";4884;2236;2648;4571;1653;894;41;740;65;1178;313
"207";"4351.02";5179;791;4388;4796;2235;908;17;1262;55;319;383
"208";"4351.03";6403;781;5622;5967;2789;507;31;2431;23;186;436
"209";"4351.04";5216;1872;3344;4833;1410;1035;27;1116;128;1117;383
"210";"4352";4140;909;3231;3772;1616;1071;23;662;53;347;368
"211";"4353";4479;1439;3040;4152;1709;1046;52;530;66;749;327
"212";"4354";4503;1489;3014;4208;1686;910;59;687;68;798;295
"213";"4355";3725;1558;2167;3455;1509;504;104;386;99;853;270
"214";"4356.01";4902;2819;2083;4435;1940;633;70;367;96;1329;467
"215";"4356.02";5329;2797;2532;5065;2437;552;60;516;108;1392;264
"216";"4357";4594;2069;2525;4296;2064;370;35;762;63;1002;298
"217";"4358";5382;2039;3343;5026;2356;256;50;1276;46;1042;356
"218";"4359";5073;1439;3634;4775;2471;241;30;1393;24;616;298
"219";"4360";4557;1827;2730;4259;2460;146;65;745;24;819;298
"220";"4361";5261;2111;3150;4899;2277;301;58;1154;58;1051;362
"221";"4362";3827;2068;1759;3563;1469;612;27;327;81;1047;264
"222";"4363";7129;4016;3113;6529;2325;984;75;964;99;2082;600
"223";"4364.01";7042;2014;5028;6506;3357;1080;67;888;160;954;536
"224";"4364.02";2618;436;2182;2460;1570;337;24;348;7;174;158
"225";"4365";4583;1669;2914;4246;1439;824;38;951;112;882;337
"226";"4366.01";6091;3501;2590;5674;2455;768;47;667;190;1547;417
"227";"4366.02";4571;2026;2545;4171;1376;775;31;910;156;923;400
"228";"4367";3284;1909;1375;3081;1243;291;28;510;64;945;203
"229";"4368";4027;1811;2216;3742;1515;568;42;742;130;745;285
"230";"4369";6724;4203;2521;6312;2686;543;96;873;144;1970;412
"231";"4370";3473;1099;2374;3191;1222;330;55;877;162;545;282
"232";"4371.01";6448;1448;5000;6035;1356;409;36;3268;201;765;413
"233";"4371.02";4251;1350;2901;3996;1010;429;38;1656;104;759;255
"234";"4372";6755;1833;4922;6290;2255;848;126;2110;169;782;465
"235";"4373";3111;1101;2010;2865;954;440;25;743;176;527;246
"236";"4374";3408;1902;1506;3215;1346;172;41;506;122;1028;193
"237";"4375";4528;2705;1823;4187;1559;411;33;480;322;1382;341
"238";"4376";3217;1402;1815;2968;1205;283;23;695;135;627;249
"239";"4377.01";3649;2023;1626;3355;824;589;37;362;225;1318;294
"240";"4377.02";4256;2971;1285;3959;1059;371;53;371;205;1900;297
"241";"4378";4621;1739;2882;4304;1363;388;40;1307;267;939;317
"242";"4379";2338;1407;931;2173;793;164;29;301;125;761;165
"243";"4380";3283;1075;2208;3043;1535;292;33;683;38;462;240
"244";"4381";7675;3396;4279;7126;2616;642;66;1735;151;1916;549
"245";"4382.01";4540;2337;2203;4248;1641;304;31;889;181;1202;292
"246";"4382.03";3920;980;2940;3691;1101;265;20;1644;116;545;229
"247";"4382.04";5368;1558;3810;5006;1735;480;43;1663;180;905;362
"248";"4383";3731;1654;2077;3437;1033;286;36;1111;241;730;294
"249";"4384";2331;762;1569;2197;901;143;19;725;60;349;134
"250";"4401";2310;379;1931;2151;974;221;11;767;21;157;159
"251";"4402";5989;4448;1541;5697;2369;248;62;845;54;2119;292
"252";"4403.01";7312;2522;4790;6809;2221;446;38;2672;95;1337;503
"253";"4403.04";4674;599;4075;4341;804;301;28;2919;52;237;333
"254";"4403.05";3883;629;3254;3593;860;320;10;2057;92;254;290
"255";"4403.06";3841;423;3418;3583;464;356;16;2497;61;189;258
"256";"4403.07";4219;877;3342;3979;1534;314;20;1738;51;322;240
"257";"4403.08";5883;1899;3984;5491;1712;302;26;2454;103;894;392
"258";"4403.31";3205;591;2614;2984;534;247;20;1805;76;302;221
"259";"4403.32";3310;207;3103;3141;364;126;2;2548;32;69;169
"260";"4403.33";2839;224;2615;2671;361;165;3;2032;27;83;168
"261";"4403.34";4016;657;3359;3732;839;302;13;2244;59;275;284
"262";"4403.35";6496;551;5945;6052;946;321;9;4486;49;241;444
"263";"4403.36";4459;1065;3394;4127;1267;362;42;1966;62;428;332
"264";"4411";4308;728;3580;4017;2498;142;36;1115;20;206;291
"265";"4412";6816;1135;5681;6362;3527;177;37;2203;36;382;454
"266";"4413.01";3179;305;2874;2955;954;137;10;1713;33;108;224
"267";"4413.02";5553;858;4695;5115;2259;211;19;2238;61;327;438
"268";"4414.01";6931;1049;5882;6473;2100;388;24;3493;52;416;458
"269";"4414.02";5233;584;4649;4783;1710;183;23;2665;29;173;450
"270";"4415.01";6068;406;5662;5607;970;296;20;4110;47;164;461
"271";"4415.03";5389;224;5165;5167;625;96;12;4347;12;75;222
