"","Col1","Total.population","Hispanic.or.Latino","Total.population..not.Hispanic.or.Latino","One.race.total","White","Black.or.African.American","American.Indian.and.Alaska.Native","Asian","Native.Hawaiian.and.Other.Pacific.Islander","Some.Other.Race","Two.or.More.Races"
"1","BLOCKS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Block 2005, Block Group 2, Census Tract 4002, Alameda County, California",8,2,6,8,6,0,0,2,0,0,0
"108","Block 2006, Block Group 2, Census Tract 4002, Alameda County, California",111,7,104,107,96,2,1,8,0,0,4
"109","Block 2007, Block Group 2, Census Tract 4002, Alameda County, California",75,4,71,71,66,2,0,3,0,0,4
"110","Block 2008, Block Group 2, Census Tract 4002, Alameda County, California",68,6,62,60,55,2,0,3,0,0,8
"111","Block 2009, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"112","Block 2010, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"113","Block 2011, Block Group 2, Census Tract 4002, Alameda County, California",3,0,3,3,0,0,0,3,0,0,0
"114","Block 2012, Block Group 2, Census Tract 4002, Alameda County, California",11,0,11,11,11,0,0,0,0,0,0
"115","Block 2013, Block Group 2, Census Tract 4002, Alameda County, California",66,10,56,57,43,4,0,5,0,5,9
"116","Block 2014, Block Group 2, Census Tract 4002, Alameda County, California",5,0,5,5,5,0,0,0,0,0,0
"117","Block 2015, Block Group 2, Census Tract 4002, Alameda County, California",74,13,61,71,58,6,0,7,0,0,3
"118","Block 2016, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"119","Block 2017, Block Group 2, Census Tract 4002, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"120","Block 1000, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"121","Block 1001, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"122","Block 1002, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"123","Block 1003, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"124","Block 1004, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"125","Block 1005, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"126","Block 1006, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"127","Block 1007, Block Group 1, Census Tract 4003, Alameda County, California",153,21,132,144,120,11,0,9,0,4,9
"128","Block 1008, Block Group 1, Census Tract 4003, Alameda County, California",169,15,154,164,134,5,0,21,0,4,5
"129","Block 1009, Block Group 1, Census Tract 4003, Alameda County, California",101,3,98,93,76,8,0,7,2,0,8
"130","Block 1010, Block Group 1, Census Tract 4003, Alameda County, California",227,26,201,214,181,2,2,27,0,2,13
"131","Block 1011, Block Group 1, Census Tract 4003, Alameda County, California",145,9,136,133,123,2,0,5,0,3,12
"132","Block 1012, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"133","Block 1013, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"134","Block 1014, Block Group 1, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"135","Block 1015, Block Group 1, Census Tract 4003, Alameda County, California",157,4,153,151,122,8,0,19,0,2,6
"136","Block 1016, Block Group 1, Census Tract 4003, Alameda County, California",122,5,117,116,103,3,0,7,0,3,6
"137","Block 1017, Block Group 1, Census Tract 4003, Alameda County, California",4,0,4,4,4,0,0,0,0,0,0
"138","Block 2000, Block Group 2, Census Tract 4003, Alameda County, California",85,11,74,79,69,3,1,6,0,0,6
"139","Block 2001, Block Group 2, Census Tract 4003, Alameda County, California",82,9,73,78,65,2,0,7,1,3,4
"140","Block 2002, Block Group 2, Census Tract 4003, Alameda County, California",5,1,4,5,3,0,0,2,0,0,0
"141","Block 2003, Block Group 2, Census Tract 4003, Alameda County, California",80,9,71,75,61,5,1,8,0,0,5
"142","Block 2004, Block Group 2, Census Tract 4003, Alameda County, California",29,3,26,27,21,0,0,6,0,0,2
"143","Block 2005, Block Group 2, Census Tract 4003, Alameda County, California",39,7,32,35,28,0,0,7,0,0,4
"144","Block 2006, Block Group 2, Census Tract 4003, Alameda County, California",125,8,117,117,88,4,0,23,0,2,8
"145","Block 2007, Block Group 2, Census Tract 4003, Alameda County, California",53,4,49,51,40,5,0,5,0,1,2
"146","Block 2008, Block Group 2, Census Tract 4003, Alameda County, California",100,3,97,94,62,19,0,12,0,1,6
"147","Block 2009, Block Group 2, Census Tract 4003, Alameda County, California",90,3,87,82,67,13,0,2,0,0,8
"148","Block 2010, Block Group 2, Census Tract 4003, Alameda County, California",111,18,93,110,89,12,1,5,0,3,1
"149","Block 2011, Block Group 2, Census Tract 4003, Alameda County, California",65,13,52,61,37,7,0,5,0,12,4
"150","Block 2012, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"151","Block 2013, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"152","Block 2014, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"153","Block 2015, Block Group 2, Census Tract 4003, Alameda County, California",48,4,44,45,41,1,0,3,0,0,3
"154","Block 2016, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"155","Block 2017, Block Group 2, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"156","Block 2018, Block Group 2, Census Tract 4003, Alameda County, California",209,27,182,179,127,10,2,29,0,11,30
"157","Block 2019, Block Group 2, Census Tract 4003, Alameda County, California",3,0,3,3,3,0,0,0,0,0,0
"158","Block 2020, Block Group 2, Census Tract 4003, Alameda County, California",47,10,37,46,38,2,1,4,0,1,1
"159","Block 2021, Block Group 2, Census Tract 4003, Alameda County, California",19,2,17,16,16,0,0,0,0,0,3
"160","Block 2022, Block Group 2, Census Tract 4003, Alameda County, California",78,6,72,71,53,8,1,7,0,2,7
"161","Block 2023, Block Group 2, Census Tract 4003, Alameda County, California",29,0,29,28,25,3,0,0,0,0,1
"162","Block 2024, Block Group 2, Census Tract 4003, Alameda County, California",1,1,0,0,0,0,0,0,0,0,1
"163","Block 3000, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"164","Block 3001, Block Group 3, Census Tract 4003, Alameda County, California",43,3,40,38,31,0,0,7,0,0,5
"165","Block 3002, Block Group 3, Census Tract 4003, Alameda County, California",223,16,207,206,168,11,0,22,0,5,17
"166","Block 3003, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"167","Block 3004, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"168","Block 3005, Block Group 3, Census Tract 4003, Alameda County, California",105,3,102,98,82,7,0,8,0,1,7
"169","Block 3006, Block Group 3, Census Tract 4003, Alameda County, California",85,5,80,83,72,0,0,10,0,1,2
"170","Block 3007, Block Group 3, Census Tract 4003, Alameda County, California",51,4,47,51,44,2,0,3,0,2,0
"171","Block 3008, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"172","Block 3009, Block Group 3, Census Tract 4003, Alameda County, California",9,0,9,6,6,0,0,0,0,0,3
"173","Block 3010, Block Group 3, Census Tract 4003, Alameda County, California",11,1,10,11,7,3,0,0,0,1,0
"174","Block 3011, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"175","Block 3012, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"176","Block 3013, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"177","Block 3014, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"178","Block 3015, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"179","Block 3016, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"180","Block 3017, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"181","Block 3018, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
"182","Block 3019, Block Group 3, Census Tract 4003, Alameda County, California",88,9,79,84,44,24,2,10,0,4,4
"183","Block 3020, Block Group 3, Census Tract 4003, Alameda County, California",28,3,25,26,23,0,0,0,0,3,2
"184","Block 3021, Block Group 3, Census Tract 4003, Alameda County, California",33,1,32,30,27,0,3,0,0,0,3
"185","Block 3022, Block Group 3, Census Tract 4003, Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
